Date,Hour,period,value,var
14/06/2018,1,0,437.8,B_MEAN
14/06/2018,2,1,515.0,B_MEAN
14/06/2018,3,2,589.5,B_MEAN
14/06/2018,4,3,725.6,B_MEAN
14/06/2018,5,4,696.8,B_MEAN
14/06/2018,6,5,631.2,B_MEAN
14/06/2018,7,6,531.5,B_MEAN
14/06/2018,8,7,692.7,B_MEAN
14/06/2018,9,8,709.4,B_MEAN
14/06/2018,10,9,643.3,B_MEAN
14/06/2018,11,10,703.6,B_MEAN
14/06/2018,12,11,629.8,B_MEAN
14/06/2018,13,12,662.8,B_MEAN
14/06/2018,14,13,604.2,B_MEAN
14/06/2018,15,14,623.5999999999998,B_MEAN
14/06/2018,16,15,751.4,B_MEAN
14/06/2018,17,16,691.3,B_MEAN
14/06/2018,18,17,635.7,B_MEAN
14/06/2018,19,18,683.2,B_MEAN
14/06/2018,20,19,743.9,B_MEAN
14/06/2018,21,20,683.9,B_MEAN
14/06/2018,22,21,653.4000000000002,B_MEAN
14/06/2018,23,22,694.5,B_MEAN
14/06/2018,24,23,682.0,B_MEAN
15/06/2018,1,24,647.5999999999998,B_MEAN
15/06/2018,2,25,680.2,B_MEAN
15/06/2018,3,26,599.9,B_MEAN
15/06/2018,4,27,603.9,B_MEAN
15/06/2018,5,28,693.0999999999998,B_MEAN
15/06/2018,6,29,606.1,B_MEAN
15/06/2018,7,30,483.3,B_MEAN
15/06/2018,8,31,519.0,B_MEAN
15/06/2018,9,32,497.5,B_MEAN
15/06/2018,10,33,577.8,B_MEAN
15/06/2018,11,34,550.1,B_MEAN
15/06/2018,12,35,625.0999999999998,B_MEAN
15/06/2018,13,36,643.7,B_MEAN
15/06/2018,14,37,512.9,B_MEAN
15/06/2018,15,38,634.5999999999998,B_MEAN
15/06/2018,16,39,663.7,B_MEAN
15/06/2018,17,40,729.4,B_MEAN
15/06/2018,18,41,698.3,B_MEAN
15/06/2018,19,42,740.8,B_MEAN
15/06/2018,20,43,559.8,B_MEAN
15/06/2018,21,44,466.2,B_MEAN
15/06/2018,22,45,466.5,B_MEAN
15/06/2018,23,46,522.4,B_MEAN
15/06/2018,24,47,552.7,B_MEAN
16/06/2018,1,48,470.0,B_MEAN
16/06/2018,2,49,354.2,B_MEAN
16/06/2018,3,50,408.4,B_MEAN
16/06/2018,4,51,377.5,B_MEAN
16/06/2018,5,52,496.6,B_MEAN
16/06/2018,6,53,410.7000000000001,B_MEAN
16/06/2018,7,54,328.3,B_MEAN
16/06/2018,8,55,306.7,B_MEAN
16/06/2018,9,56,257.6,B_MEAN
16/06/2018,10,57,295.4,B_MEAN
16/06/2018,11,58,318.6,B_MEAN
16/06/2018,12,59,272.9,B_MEAN
16/06/2018,13,60,335.6,B_MEAN
16/06/2018,14,61,517.9,B_MEAN
16/06/2018,15,62,516.4,B_MEAN
16/06/2018,16,63,562.3,B_MEAN
16/06/2018,17,64,476.9,B_MEAN
16/06/2018,18,65,552.6,B_MEAN
16/06/2018,19,66,562.0,B_MEAN
16/06/2018,20,67,599.0,B_MEAN
16/06/2018,21,68,575.3,B_MEAN
16/06/2018,22,69,590.2,B_MEAN
16/06/2018,23,70,554.5,B_MEAN
16/06/2018,24,71,524.4,B_MEAN
17/06/2018,1,72,373.5,B_MEAN
17/06/2018,2,73,467.6,B_MEAN
17/06/2018,3,74,452.3,B_MEAN
17/06/2018,4,75,481.3,B_MEAN
17/06/2018,5,76,424.7,B_MEAN
17/06/2018,6,77,496.7,B_MEAN
17/06/2018,7,78,479.1,B_MEAN
17/06/2018,8,79,543.8,B_MEAN
17/06/2018,9,80,645.0,B_MEAN
17/06/2018,10,81,681.4,B_MEAN
17/06/2018,11,82,704.8,B_MEAN
17/06/2018,12,83,701.1,B_MEAN
17/06/2018,13,84,690.4000000000002,B_MEAN
17/06/2018,14,85,714.2,B_MEAN
17/06/2018,15,86,691.8,B_MEAN
17/06/2018,16,87,726.5,B_MEAN
17/06/2018,17,88,726.5,B_MEAN
17/06/2018,18,89,690.5999999999998,B_MEAN
17/06/2018,19,90,698.7,B_MEAN
17/06/2018,20,91,716.7,B_MEAN
17/06/2018,21,92,704.2,B_MEAN
17/06/2018,22,93,640.1,B_MEAN
17/06/2018,23,94,692.3,B_MEAN
17/06/2018,24,95,512.4000000000002,B_MEAN
18/06/2018,1,96,482.5,B_MEAN
18/06/2018,2,97,458.6,B_MEAN
18/06/2018,3,98,334.9,B_MEAN
18/06/2018,4,99,352.9000000000001,B_MEAN
18/06/2018,5,100,245.3,B_MEAN
18/06/2018,6,101,178.2,B_MEAN
18/06/2018,7,102,340.9,B_MEAN
18/06/2018,8,103,265.9,B_MEAN
18/06/2018,9,104,280.5,B_MEAN
18/06/2018,10,105,428.2000000000001,B_MEAN
18/06/2018,11,106,493.7,B_MEAN
18/06/2018,12,107,606.2,B_MEAN
18/06/2018,13,108,640.6,B_MEAN
18/06/2018,14,109,647.3,B_MEAN
18/06/2018,15,110,676.9,B_MEAN
18/06/2018,16,111,615.9,B_MEAN
18/06/2018,17,112,770.3,B_MEAN
18/06/2018,18,113,735.0,B_MEAN
18/06/2018,19,114,715.3,B_MEAN
18/06/2018,20,115,760.5,B_MEAN
18/06/2018,21,116,709.9,B_MEAN
18/06/2018,22,117,689.3,B_MEAN
18/06/2018,23,118,512.0,B_MEAN
18/06/2018,24,119,375.5,B_MEAN
19/06/2018,1,120,362.8,B_MEAN
19/06/2018,2,121,375.2,B_MEAN
19/06/2018,3,122,334.0,B_MEAN
19/06/2018,4,123,377.0,B_MEAN
19/06/2018,5,124,408.2,B_MEAN
19/06/2018,6,125,390.9,B_MEAN
19/06/2018,7,126,331.5,B_MEAN
19/06/2018,8,127,360.8,B_MEAN
19/06/2018,9,128,393.6,B_MEAN
19/06/2018,10,129,531.7,B_MEAN
19/06/2018,11,130,544.3,B_MEAN
19/06/2018,12,131,533.3,B_MEAN
19/06/2018,13,132,550.8,B_MEAN
19/06/2018,14,133,516.0,B_MEAN
19/06/2018,15,134,565.2,B_MEAN
19/06/2018,16,135,553.3,B_MEAN
19/06/2018,17,136,497.1,B_MEAN
19/06/2018,18,137,448.8,B_MEAN
19/06/2018,19,138,579.5,B_MEAN
19/06/2018,20,139,546.2,B_MEAN
19/06/2018,21,140,673.9,B_MEAN
19/06/2018,22,141,683.2,B_MEAN
19/06/2018,23,142,686.5,B_MEAN
19/06/2018,24,143,681.0,B_MEAN
20/06/2018,1,144,739.4,B_MEAN
20/06/2018,2,145,711.8,B_MEAN
20/06/2018,3,146,745.7,B_MEAN
20/06/2018,4,147,736.2,B_MEAN
20/06/2018,5,148,776.9,B_MEAN
20/06/2018,6,149,719.4,B_MEAN
20/06/2018,7,150,610.2,B_MEAN
20/06/2018,8,151,690.5,B_MEAN
20/06/2018,9,152,727.6,B_MEAN
20/06/2018,10,153,727.4000000000002,B_MEAN
20/06/2018,11,154,734.2,B_MEAN
20/06/2018,12,155,753.6,B_MEAN
20/06/2018,13,156,654.0,B_MEAN
20/06/2018,14,157,706.7,B_MEAN
20/06/2018,15,158,678.2,B_MEAN
20/06/2018,16,159,674.3,B_MEAN
20/06/2018,17,160,731.3,B_MEAN
20/06/2018,18,161,733.4,B_MEAN
20/06/2018,19,162,718.0999999999998,B_MEAN
20/06/2018,20,163,742.0,B_MEAN
20/06/2018,21,164,739.3,B_MEAN
20/06/2018,22,165,604.8,B_MEAN
20/06/2018,23,166,719.5,B_MEAN
20/06/2018,24,167,727.5,B_MEAN
14/06/2018,1,0,0.0,C_LOWER_BOUND
14/06/2018,2,1,0.0,C_LOWER_BOUND
14/06/2018,3,2,0.0,C_LOWER_BOUND
14/06/2018,4,3,55.30000000000001,C_LOWER_BOUND
14/06/2018,5,4,25.20000000000005,C_LOWER_BOUND
14/06/2018,6,5,0.0,C_LOWER_BOUND
14/06/2018,7,6,0.0,C_LOWER_BOUND
14/06/2018,8,7,119.3,C_LOWER_BOUND
14/06/2018,9,8,104.8,C_LOWER_BOUND
14/06/2018,10,9,83.80000000000003,C_LOWER_BOUND
14/06/2018,11,10,89.5,C_LOWER_BOUND
14/06/2018,12,11,95.59999999999997,C_LOWER_BOUND
14/06/2018,13,12,44.09999999999997,C_LOWER_BOUND
14/06/2018,14,13,82.80000000000003,C_LOWER_BOUND
14/06/2018,15,14,80.60000000000002,C_LOWER_BOUND
14/06/2018,16,15,174.3,C_LOWER_BOUND
14/06/2018,17,16,190.0,C_LOWER_BOUND
14/06/2018,18,17,11.300000000000011,C_LOWER_BOUND
14/06/2018,19,18,219.5,C_LOWER_BOUND
14/06/2018,20,19,81.39999999999998,C_LOWER_BOUND
14/06/2018,21,20,275.90000000000003,C_LOWER_BOUND
14/06/2018,22,21,321.7,C_LOWER_BOUND
14/06/2018,23,22,123.2,C_LOWER_BOUND
14/06/2018,24,23,177.0,C_LOWER_BOUND
15/06/2018,1,24,39.80000000000001,C_LOWER_BOUND
15/06/2018,2,25,44.5,C_LOWER_BOUND
15/06/2018,3,26,0.0,C_LOWER_BOUND
15/06/2018,4,27,8.199999999999989,C_LOWER_BOUND
15/06/2018,5,28,17.300000000000008,C_LOWER_BOUND
15/06/2018,6,29,33.599999999999966,C_LOWER_BOUND
15/06/2018,7,30,0.0,C_LOWER_BOUND
15/06/2018,8,31,0.0,C_LOWER_BOUND
15/06/2018,9,32,0.0,C_LOWER_BOUND
15/06/2018,10,33,0.0,C_LOWER_BOUND
15/06/2018,11,34,0.0,C_LOWER_BOUND
15/06/2018,12,35,84.30000000000003,C_LOWER_BOUND
15/06/2018,13,36,74.0,C_LOWER_BOUND
15/06/2018,14,37,0.0,C_LOWER_BOUND
15/06/2018,15,38,0.0,C_LOWER_BOUND
15/06/2018,16,39,0.0,C_LOWER_BOUND
15/06/2018,17,40,50.700000000000045,C_LOWER_BOUND
15/06/2018,18,41,0.0,C_LOWER_BOUND
15/06/2018,19,42,115.39999999999998,C_LOWER_BOUND
15/06/2018,20,43,138.3,C_LOWER_BOUND
15/06/2018,21,44,0.0,C_LOWER_BOUND
15/06/2018,22,45,0.0,C_LOWER_BOUND
15/06/2018,23,46,0.0,C_LOWER_BOUND
15/06/2018,24,47,0.0,C_LOWER_BOUND
16/06/2018,1,48,0.0,C_LOWER_BOUND
16/06/2018,2,49,0.0,C_LOWER_BOUND
16/06/2018,3,50,0.0,C_LOWER_BOUND
16/06/2018,4,51,0.0,C_LOWER_BOUND
16/06/2018,5,52,0.0,C_LOWER_BOUND
16/06/2018,6,53,0.0,C_LOWER_BOUND
16/06/2018,7,54,0.0,C_LOWER_BOUND
16/06/2018,8,55,0.0,C_LOWER_BOUND
16/06/2018,9,56,0.0,C_LOWER_BOUND
16/06/2018,10,57,0.0,C_LOWER_BOUND
16/06/2018,11,58,0.0,C_LOWER_BOUND
16/06/2018,12,59,0.0,C_LOWER_BOUND
16/06/2018,13,60,0.0,C_LOWER_BOUND
16/06/2018,14,61,0.0,C_LOWER_BOUND
16/06/2018,15,62,69.70000000000005,C_LOWER_BOUND
16/06/2018,16,63,152.90000000000003,C_LOWER_BOUND
16/06/2018,17,64,86.80000000000003,C_LOWER_BOUND
16/06/2018,18,65,0.0,C_LOWER_BOUND
16/06/2018,19,66,30.300000000000008,C_LOWER_BOUND
16/06/2018,20,67,0.0,C_LOWER_BOUND
16/06/2018,21,68,0.0,C_LOWER_BOUND
16/06/2018,22,69,1.0,C_LOWER_BOUND
16/06/2018,23,70,0.0,C_LOWER_BOUND
16/06/2018,24,71,0.0,C_LOWER_BOUND
17/06/2018,1,72,0.0,C_LOWER_BOUND
17/06/2018,2,73,0.0,C_LOWER_BOUND
17/06/2018,3,74,0.0,C_LOWER_BOUND
17/06/2018,4,75,0.0,C_LOWER_BOUND
17/06/2018,5,76,0.0,C_LOWER_BOUND
17/06/2018,6,77,0.0,C_LOWER_BOUND
17/06/2018,7,78,0.0,C_LOWER_BOUND
17/06/2018,8,79,0.0,C_LOWER_BOUND
17/06/2018,9,80,0.0,C_LOWER_BOUND
17/06/2018,10,81,11.5,C_LOWER_BOUND
17/06/2018,11,82,99.09999999999997,C_LOWER_BOUND
17/06/2018,12,83,136.2,C_LOWER_BOUND
17/06/2018,13,84,150.89999999999995,C_LOWER_BOUND
17/06/2018,14,85,172.8,C_LOWER_BOUND
17/06/2018,15,86,206.5,C_LOWER_BOUND
17/06/2018,16,87,203.0,C_LOWER_BOUND
17/06/2018,17,88,94.0,C_LOWER_BOUND
17/06/2018,18,89,306.5,C_LOWER_BOUND
17/06/2018,19,90,285.1,C_LOWER_BOUND
17/06/2018,20,91,255.3,C_LOWER_BOUND
17/06/2018,21,92,113.89999999999998,C_LOWER_BOUND
17/06/2018,22,93,96.3,C_LOWER_BOUND
17/06/2018,23,94,0.0,C_LOWER_BOUND
17/06/2018,24,95,0.0,C_LOWER_BOUND
18/06/2018,1,96,19.0,C_LOWER_BOUND
18/06/2018,2,97,0.0,C_LOWER_BOUND
18/06/2018,3,98,0.0,C_LOWER_BOUND
18/06/2018,4,99,0.0,C_LOWER_BOUND
18/06/2018,5,100,0.0,C_LOWER_BOUND
18/06/2018,6,101,0.0,C_LOWER_BOUND
18/06/2018,7,102,0.0,C_LOWER_BOUND
18/06/2018,8,103,0.0,C_LOWER_BOUND
18/06/2018,9,104,0.0,C_LOWER_BOUND
18/06/2018,10,105,0.0,C_LOWER_BOUND
18/06/2018,11,106,0.0,C_LOWER_BOUND
18/06/2018,12,107,0.0,C_LOWER_BOUND
18/06/2018,13,108,0.0,C_LOWER_BOUND
18/06/2018,14,109,0.0,C_LOWER_BOUND
18/06/2018,15,110,2.700000000000045,C_LOWER_BOUND
18/06/2018,16,111,180.5,C_LOWER_BOUND
18/06/2018,17,112,112.39999999999998,C_LOWER_BOUND
18/06/2018,18,113,178.89999999999995,C_LOWER_BOUND
18/06/2018,19,114,199.9,C_LOWER_BOUND
18/06/2018,20,115,169.49999999999994,C_LOWER_BOUND
18/06/2018,21,116,49.100000000000016,C_LOWER_BOUND
18/06/2018,22,117,66.0,C_LOWER_BOUND
18/06/2018,23,118,89.5,C_LOWER_BOUND
18/06/2018,24,119,24.100000000000023,C_LOWER_BOUND
19/06/2018,1,120,137.20000000000005,C_LOWER_BOUND
19/06/2018,2,121,115.7,C_LOWER_BOUND
19/06/2018,3,122,61.899999999999984,C_LOWER_BOUND
19/06/2018,4,123,8.599999999999966,C_LOWER_BOUND
19/06/2018,5,124,0.0,C_LOWER_BOUND
19/06/2018,6,125,0.0,C_LOWER_BOUND
19/06/2018,7,126,0.0,C_LOWER_BOUND
19/06/2018,8,127,0.0,C_LOWER_BOUND
19/06/2018,9,128,0.0,C_LOWER_BOUND
19/06/2018,10,129,0.0,C_LOWER_BOUND
19/06/2018,11,130,53.90000000000003,C_LOWER_BOUND
19/06/2018,12,131,161.39999999999995,C_LOWER_BOUND
19/06/2018,13,132,121.3,C_LOWER_BOUND
19/06/2018,14,133,79.0,C_LOWER_BOUND
19/06/2018,15,134,54.399999999999984,C_LOWER_BOUND
19/06/2018,16,135,131.3,C_LOWER_BOUND
19/06/2018,17,136,88.30000000000003,C_LOWER_BOUND
19/06/2018,18,137,216.40000000000003,C_LOWER_BOUND
19/06/2018,19,138,71.5,C_LOWER_BOUND
19/06/2018,20,139,93.7,C_LOWER_BOUND
19/06/2018,21,140,104.3,C_LOWER_BOUND
19/06/2018,22,141,71.10000000000002,C_LOWER_BOUND
19/06/2018,23,142,0.0,C_LOWER_BOUND
19/06/2018,24,143,109.5,C_LOWER_BOUND
20/06/2018,1,144,39.10000000000002,C_LOWER_BOUND
20/06/2018,2,145,106.7,C_LOWER_BOUND
20/06/2018,3,146,153.60000000000005,C_LOWER_BOUND
20/06/2018,4,147,178.5,C_LOWER_BOUND
20/06/2018,5,148,52.5,C_LOWER_BOUND
20/06/2018,6,149,56.899999999999984,C_LOWER_BOUND
20/06/2018,7,150,123.5,C_LOWER_BOUND
20/06/2018,8,151,85.0,C_LOWER_BOUND
20/06/2018,9,152,99.3,C_LOWER_BOUND
20/06/2018,10,153,182.49999999999997,C_LOWER_BOUND
20/06/2018,11,154,76.20000000000005,C_LOWER_BOUND
20/06/2018,12,155,94.29999999999997,C_LOWER_BOUND
20/06/2018,13,156,150.40000000000003,C_LOWER_BOUND
20/06/2018,14,157,69.5,C_LOWER_BOUND
20/06/2018,15,158,187.1,C_LOWER_BOUND
20/06/2018,16,159,186.0,C_LOWER_BOUND
20/06/2018,17,160,133.39999999999998,C_LOWER_BOUND
20/06/2018,18,161,187.50000000000009,C_LOWER_BOUND
20/06/2018,19,162,249.0,C_LOWER_BOUND
20/06/2018,20,163,209.1,C_LOWER_BOUND
20/06/2018,21,164,142.59999999999997,C_LOWER_BOUND
20/06/2018,22,165,130.5,C_LOWER_BOUND
20/06/2018,23,166,37.69999999999999,C_LOWER_BOUND
20/06/2018,24,167,131.3,C_LOWER_BOUND
14/06/2018,1,0,798.8,A_UPPER_BOUND
14/06/2018,2,1,686.4,A_UPPER_BOUND
14/06/2018,3,2,697.0,A_UPPER_BOUND
14/06/2018,4,3,764.4,A_UPPER_BOUND
14/06/2018,5,4,769.0,A_UPPER_BOUND
14/06/2018,6,5,706.0999999999998,A_UPPER_BOUND
14/06/2018,7,6,765.2,A_UPPER_BOUND
14/06/2018,8,7,748.7,A_UPPER_BOUND
14/06/2018,9,8,747.2,A_UPPER_BOUND
14/06/2018,10,9,684.3,A_UPPER_BOUND
14/06/2018,11,10,716.8,A_UPPER_BOUND
14/06/2018,12,11,712.7,A_UPPER_BOUND
14/06/2018,13,12,749.6,A_UPPER_BOUND
14/06/2018,14,13,668.0,A_UPPER_BOUND
14/06/2018,15,14,725.2,A_UPPER_BOUND
14/06/2018,16,15,751.4,A_UPPER_BOUND
14/06/2018,17,16,691.3,A_UPPER_BOUND
14/06/2018,18,17,747.6,A_UPPER_BOUND
14/06/2018,19,18,683.2,A_UPPER_BOUND
14/06/2018,20,19,744.1,A_UPPER_BOUND
14/06/2018,21,20,683.9,A_UPPER_BOUND
14/06/2018,22,21,736.7,A_UPPER_BOUND
14/06/2018,23,22,725.4000000000002,A_UPPER_BOUND
14/06/2018,24,23,682.0,A_UPPER_BOUND
15/06/2018,1,24,745.0,A_UPPER_BOUND
15/06/2018,2,25,750.0,A_UPPER_BOUND
15/06/2018,3,26,755.7,A_UPPER_BOUND
15/06/2018,4,27,722.9,A_UPPER_BOUND
15/06/2018,5,28,789.7,A_UPPER_BOUND
15/06/2018,6,29,675.2,A_UPPER_BOUND
15/06/2018,7,30,764.5,A_UPPER_BOUND
15/06/2018,8,31,767.9000000000002,A_UPPER_BOUND
15/06/2018,9,32,778.2,A_UPPER_BOUND
15/06/2018,10,33,727.8,A_UPPER_BOUND
15/06/2018,11,34,740.7,A_UPPER_BOUND
15/06/2018,12,35,675.2,A_UPPER_BOUND
15/06/2018,13,36,771.1,A_UPPER_BOUND
15/06/2018,14,37,725.0,A_UPPER_BOUND
15/06/2018,15,38,771.6,A_UPPER_BOUND
15/06/2018,16,39,772.5,A_UPPER_BOUND
15/06/2018,17,40,729.4,A_UPPER_BOUND
15/06/2018,18,41,742.4,A_UPPER_BOUND
15/06/2018,19,42,786.8,A_UPPER_BOUND
15/06/2018,20,43,669.9000000000002,A_UPPER_BOUND
15/06/2018,21,44,730.7,A_UPPER_BOUND
15/06/2018,22,45,784.5,A_UPPER_BOUND
15/06/2018,23,46,770.4000000000002,A_UPPER_BOUND
15/06/2018,24,47,710.3,A_UPPER_BOUND
16/06/2018,1,48,701.5,A_UPPER_BOUND
16/06/2018,2,49,730.9000000000002,A_UPPER_BOUND
16/06/2018,3,50,698.0,A_UPPER_BOUND
16/06/2018,4,51,718.6,A_UPPER_BOUND
16/06/2018,5,52,743.3,A_UPPER_BOUND
16/06/2018,6,53,687.6,A_UPPER_BOUND
16/06/2018,7,54,760.0,A_UPPER_BOUND
16/06/2018,8,55,793.3,A_UPPER_BOUND
16/06/2018,9,56,711.2,A_UPPER_BOUND
16/06/2018,10,57,750.7,A_UPPER_BOUND
16/06/2018,11,58,734.1,A_UPPER_BOUND
16/06/2018,12,59,707.2,A_UPPER_BOUND
16/06/2018,13,60,731.1,A_UPPER_BOUND
16/06/2018,14,61,738.0999999999998,A_UPPER_BOUND
16/06/2018,15,62,694.0,A_UPPER_BOUND
16/06/2018,16,63,792.8,A_UPPER_BOUND
16/06/2018,17,64,725.7,A_UPPER_BOUND
16/06/2018,18,65,728.8,A_UPPER_BOUND
16/06/2018,19,66,745.0,A_UPPER_BOUND
16/06/2018,20,67,713.9,A_UPPER_BOUND
16/06/2018,21,68,705.8,A_UPPER_BOUND
16/06/2018,22,69,706.4,A_UPPER_BOUND
16/06/2018,23,70,716.0999999999998,A_UPPER_BOUND
16/06/2018,24,71,775.7,A_UPPER_BOUND
17/06/2018,1,72,700.8,A_UPPER_BOUND
17/06/2018,2,73,763.2,A_UPPER_BOUND
17/06/2018,3,74,697.5999999999998,A_UPPER_BOUND
17/06/2018,4,75,682.9,A_UPPER_BOUND
17/06/2018,5,76,717.9000000000002,A_UPPER_BOUND
17/06/2018,6,77,734.5999999999998,A_UPPER_BOUND
17/06/2018,7,78,734.5999999999998,A_UPPER_BOUND
17/06/2018,8,79,705.8,A_UPPER_BOUND
17/06/2018,9,80,712.6,A_UPPER_BOUND
17/06/2018,10,81,681.4,A_UPPER_BOUND
17/06/2018,11,82,738.8,A_UPPER_BOUND
17/06/2018,12,83,701.1,A_UPPER_BOUND
17/06/2018,13,84,690.4000000000002,A_UPPER_BOUND
17/06/2018,14,85,714.2,A_UPPER_BOUND
17/06/2018,15,86,691.8,A_UPPER_BOUND
17/06/2018,16,87,726.5,A_UPPER_BOUND
17/06/2018,17,88,729.9000000000002,A_UPPER_BOUND
17/06/2018,18,89,690.5999999999998,A_UPPER_BOUND
17/06/2018,19,90,698.7,A_UPPER_BOUND
17/06/2018,20,91,738.9000000000002,A_UPPER_BOUND
17/06/2018,21,92,761.2,A_UPPER_BOUND
17/06/2018,22,93,691.4000000000002,A_UPPER_BOUND
17/06/2018,23,94,731.5,A_UPPER_BOUND
17/06/2018,24,95,795.0,A_UPPER_BOUND
18/06/2018,1,96,701.8,A_UPPER_BOUND
18/06/2018,2,97,793.4,A_UPPER_BOUND
18/06/2018,3,98,744.3,A_UPPER_BOUND
18/06/2018,4,99,761.5999999999998,A_UPPER_BOUND
18/06/2018,5,100,752.5999999999998,A_UPPER_BOUND
18/06/2018,6,101,670.1,A_UPPER_BOUND
18/06/2018,7,102,727.5,A_UPPER_BOUND
18/06/2018,8,103,711.9,A_UPPER_BOUND
18/06/2018,9,104,743.9,A_UPPER_BOUND
18/06/2018,10,105,731.5,A_UPPER_BOUND
18/06/2018,11,106,750.4000000000002,A_UPPER_BOUND
18/06/2018,12,107,805.2,A_UPPER_BOUND
18/06/2018,13,108,732.3,A_UPPER_BOUND
18/06/2018,14,109,724.5,A_UPPER_BOUND
18/06/2018,15,110,679.2,A_UPPER_BOUND
18/06/2018,16,111,698.0999999999998,A_UPPER_BOUND
18/06/2018,17,112,770.3,A_UPPER_BOUND
18/06/2018,18,113,735.0,A_UPPER_BOUND
18/06/2018,19,114,715.3,A_UPPER_BOUND
18/06/2018,20,115,769.0,A_UPPER_BOUND
18/06/2018,21,116,709.9,A_UPPER_BOUND
18/06/2018,22,117,771.3,A_UPPER_BOUND
18/06/2018,23,118,712.3,A_UPPER_BOUND
18/06/2018,24,119,699.1,A_UPPER_BOUND
19/06/2018,1,120,704.4,A_UPPER_BOUND
19/06/2018,2,121,761.7,A_UPPER_BOUND
19/06/2018,3,122,668.2,A_UPPER_BOUND
19/06/2018,4,123,709.3,A_UPPER_BOUND
19/06/2018,5,124,706.6,A_UPPER_BOUND
19/06/2018,6,125,790.8,A_UPPER_BOUND
19/06/2018,7,126,767.8,A_UPPER_BOUND
19/06/2018,8,127,718.4,A_UPPER_BOUND
19/06/2018,9,128,750.3,A_UPPER_BOUND
19/06/2018,10,129,712.3,A_UPPER_BOUND
19/06/2018,11,130,697.3,A_UPPER_BOUND
19/06/2018,12,131,736.1,A_UPPER_BOUND
19/06/2018,13,132,742.0,A_UPPER_BOUND
19/06/2018,14,133,694.4,A_UPPER_BOUND
19/06/2018,15,134,749.2,A_UPPER_BOUND
19/06/2018,16,135,701.8,A_UPPER_BOUND
19/06/2018,17,136,740.2,A_UPPER_BOUND
19/06/2018,18,137,670.5999999999998,A_UPPER_BOUND
19/06/2018,19,138,782.2,A_UPPER_BOUND
19/06/2018,20,139,701.6,A_UPPER_BOUND
19/06/2018,21,140,707.7,A_UPPER_BOUND
19/06/2018,22,141,683.2,A_UPPER_BOUND
19/06/2018,23,142,745.9,A_UPPER_BOUND
19/06/2018,24,143,681.0,A_UPPER_BOUND
20/06/2018,1,144,783.5999999999998,A_UPPER_BOUND
20/06/2018,2,145,753.2,A_UPPER_BOUND
20/06/2018,3,146,745.7,A_UPPER_BOUND
20/06/2018,4,147,736.2,A_UPPER_BOUND
20/06/2018,5,148,776.9,A_UPPER_BOUND
20/06/2018,6,149,760.1,A_UPPER_BOUND
20/06/2018,7,150,741.9000000000002,A_UPPER_BOUND
20/06/2018,8,151,717.5,A_UPPER_BOUND
20/06/2018,9,152,798.7,A_UPPER_BOUND
20/06/2018,10,153,727.4000000000002,A_UPPER_BOUND
20/06/2018,11,154,734.2,A_UPPER_BOUND
20/06/2018,12,155,753.6,A_UPPER_BOUND
20/06/2018,13,156,702.9,A_UPPER_BOUND
20/06/2018,14,157,731.2,A_UPPER_BOUND
20/06/2018,15,158,683.7,A_UPPER_BOUND
20/06/2018,16,159,700.8,A_UPPER_BOUND
20/06/2018,17,160,731.3,A_UPPER_BOUND
20/06/2018,18,161,733.4,A_UPPER_BOUND
20/06/2018,19,162,718.0999999999998,A_UPPER_BOUND
20/06/2018,20,163,742.0,A_UPPER_BOUND
20/06/2018,21,164,739.3,A_UPPER_BOUND
20/06/2018,22,165,686.5,A_UPPER_BOUND
20/06/2018,23,166,728.3,A_UPPER_BOUND
20/06/2018,24,167,745.9,A_UPPER_BOUND
